TextType,MaxLength,Format,SheetInfo,CopyFromSelectedSheet,ChangeableByScriptOnly,CanModify,CanHide,CanModifyInivisible,DatabaseField,SystemDefined,ConnectionTargetFormat,UseActivePinTerminal,TEXTNAME_86,TEXTNAME_31,TEXTNAME_44,TEXTNAME_33,TEXTNAME_49,TEXTNAME_39,TEXTNAME_81,TEXTNAME_351,TEXTNAME_07,TEXTNAME_34,TEXTNAME_90,TEXTNAME_48
336,255,,0,0,-1,0,0,0,,0,0,0,rmCRPAssignment,rmCRPAssignment,rmCRPAssignment,rmCRPAssignment,rmCRPAssignment,rmCRPAssignment,rmCRPAssignment,rmCRPAssignment,rmCRPAssignment,rmCRPAssignment,rmCRPAtama,rmCRPAssignment
337,255,,0,0,-1,0,0,0,,0,0,0,rmCRPLocation,rmCRPLocation,rmCRPLocation,rmCRPLocation,rmCRPLocation,rmCRPLocation,rmCRPLocation,rmCRPLocation,rmCRPLocation,rmCRPLocation,rmCRPKonum,rmCRPLocation
338,255,,0,0,-1,0,0,0,,0,0,0,rmCRPSheet,rmCRPSheet,rmCRPSheet,rmCRPSheet,rmCRPSheet,rmCRPSheet,rmCRPSheet,rmCRPSheet,rmCRPSheet,rmCRPSheet,rmCRPSayfa,rmCRPSheet
339,255,,0,0,-1,0,0,0,,0,0,0,rmCRPChangeIndex,rmCRPChangeIndex,rmCRPChangeIndex,rmCRPChangeIndex,rmCRPChangeIndex,rmCRPChangeIndex,rmCRPChangeIndex,rmCRPChangeIndex,rmCRPChangeIndex,rmCRPChangeIndex,rmCRPDeğişimEndeks,rmCRPChangeIndex
340,255,,0,0,-1,0,0,0,,0,0,0,rmCRPChangeReason,rmCRPChangeReason,rmCRPChangeReason,rmCRPChangeReason,rmCRPChangeReason,rmCRPChangeReason,rmCRPChangeReason,rmCRPChangeReason,rmCRPChangeReason,rmCRPChangeReason,rmCRPDeğişimNedeni,rmCRPChangeReason
341,255,,0,0,-1,0,0,0,,0,0,0,rmCRPChangeDate,rmCRPChangeDate,rmCRPChangeDate,rmCRPChangeDate,rmCRPChangeDate,rmCRPChangeDate,rmCRPChangeDate,rmCRPChangeDate,rmCRPChangeDate,rmCRPChangeDate,rmCRPDeğişimTarihi,rmCRPChangeDate
342,255,,0,0,-1,0,0,0,,0,0,0,rmCRPChangeUser,rmCRPChangeUser,rmCRPChangeUser,rmCRPChangeUser,rmCRPChangeUser,rmCRPChangeUser,rmCRPChangeUser,rmCRPChangeUser,rmCRPChangeUser,rmCRPChangeUser,rmCRPDeğişimKullanıcı,rmCRPChangeUser
349,255,,0,0,-1,0,0,0,,0,0,0,rmCRPFooter,rmCRPFooter,rmCRPFooter,rmCRPFooter,rmCRPFooter,rmCRPFooter,rmCRPFooter,rmCRPFooter,rmCRPFooter,rmCRPFooter,rmCRPAltbilgi,rmCRPFooter
359,0,,0,0,0,0,0,0,PanelWireClass,0,0,0,连接类,verbindingsklas,Connection Class,Classe de connexion,Verbindungsklasse,Classe connessione,接続クラス,Classe de Conexão,Класс соединения,Clase de conexión,Bağlantı Klası,Klasa połączenia
370,80,,-1,0,0,-1,-1,0,,-1,0,0,,,Component code (Terminal plan sheet symbol),,Bauteiltyp (Klemmenplan Blattformat),,,,,,,Kod komponentu (Symbol arkusza do zestawienia złączek listwowych)
400,0,,0,0,0,0,0,0,,0,0,0,图形端子图(端子相互参考),graf. klemmen plan (klemmenkruisverwijzing),Graph. Terminal plan (Term. Cross reference),Plan de borne graphique (Nom de brin),Graf. Klemmenplan (Klemmenquerverweis),Schema grafico morsettiere (rimandi morsetto),グラフ. ターミナルプラン(ターミナル. クロスリファレンス),Plan. de Bornes Gráfica (Ref. cruzada de Bornes),Схема подключений (клемма - ссылка),Hoja de bornes gráfica (Referencia cruzada de borne),Grafik Terminal plan (Term. Çapraz referans),Graf. Zestawienie złączek listwowych (Referencja krosowa)
401,0,,0,0,0,0,0,0,,0,0,0,图形端子图(端子针脚名),graf. klemmen plan (klemmennaam),Graph. Terminal plan (Term. Pin name),Plan de borne graphique (Fonction pour destination),Graf. Klemmenplan (Klemmenname),Schema grafico morsettiere (Sigla morsetto),グラフ. ターミナルプラン(ターミナル. ピン名),Plan. de Bornes Gráfica (Nome do pino do Borne),Схема подключений (клемма - имя вывода),Hoja de bornes gráfica (Nombre pin de borne),Grafik Terminal plan (Term. Pin adı),Graf. Zestawienie złączek listwowych (Nazwa pinu)
402,0,,0,0,0,0,0,0,,0,0,0,图形端子图(端子器材特征符号),graf. klemmen plan (klemmenstrookbenaming),Graph. Terminal plan (Term. Device designation),Plan de borne graphique (Ref. croisées bornes),Graf. Klemmenplan (Klemmen BMK),Schema grafico morsettiere (Designazione dispositivo morsetto),グラフ. ターミナルプラン(ターミナル. デバイス識別名),Plan. de Bornes Gráfica (Função para designação),Схема подключений (клемма - поз. обозначение),Hoja de bornes gráfica (Desig. dispositivo de borne),Grafik Terminal plan (Term. Cihaz atama),Graf. Zestawienie złączek listwowych (Oznaczenie urządzenia)
403,0,,0,0,0,0,0,0,,0,0,0,图形端子图(对于特征符号功能),graf. klemmen plan (functie voor bestemming),Graph. Terminal plan (Function for destination),Plan de borne graphique (Nom de pin bornes),Graf. Klemmenplan (Funktion beim Zielbauteil),Schema grafico morsettiere (Funzione della destinazione),グラフ. ターミナルプラン(接続先の機能),Plan. de Bornes Gráfica (Função para destino),Схема подключений (адрес2 - Устройство) ,Hoja de bornes gráfica (Función para destino),Grafik Terminal plan ( Fonksiyon hedef için),Graf. Zestawienie złączek listwowych (Funkcja dla celu)
