ColorCode,Color,Linetype,Type,DESCRIPTION_86,DESCRIPTION_31,DESCRIPTION_44,DESCRIPTION_33,DESCRIPTION_49,DESCRIPTION_39,DESCRIPTION_81,DESCRIPTION_351,DESCRIPTION_07,DESCRIPTION_34,DESCRIPTION_90,DESCRIPTION_48
150,0,0,0,红蓝黑,RoodBlauwZwart,RedBlueBlack,RougeBleuNoir,RotBlauSchwarz,GrigioRosaNero,レッドブルーブラック,VermelhoAzulNegro,КрасныйСинийЧерный,RojoAzulNegro,KırmızıMaviSiyah,CzerwonoNiebieskoCzarny
151,0,0,0,白绿黑,WitGroenZwart,WhiteGreenBlack,BlancVertNoir,WeissGrünSchwarz,RossoAzzurroNero,ホワイトグリーンブラック,BrancoVerdeNegro,БелыйЗеленыйЧерный,BlancoVerdeNegro,BeyazYeşilSiyah,BiałoZielonoCzarny
152,0,0,0,棕绿黑,BlauwGroenZwart,BrownGreenBlack,BrunVertNoir,BraunGrünSchwarz,MarroneVerdeNero,ブラウングリーンブラック,CastanhoVerdeNegro,КоричневыйЗеленыйЧерный,MarrónVerdeNegro,KahverengiYeşilSiyah,BrązowoZielonoCzarny
153,0,0,0,白黄黑,WitGeelZwart,WhiteYellowBlack,BlancJauneNoir,WeissGelbSchwarz,BiancoGialloNero,ホワイトイエローブラック,BrancoAmareloNegro,БелыйЖелтыйЧерный,BlancoAmarilloNegro,BeyazSarıSiyah,BiałoŻółtoCzarny
154,0,0,0,黄棕黑,GeelBruinZwart,YellowBrownBlack,JauneBrunNoir,GelbBraunSchwarz,GialloMarroneNero,イエローブラウンブラック,AmareloCastanhoNegro,ЖелтыйКоричневыйЧерный,AmarilloMarrónNegro,SarıKahverengiSiyah,ŻółtoBrązowoCzarny
155,0,0,0,白灰黑,WitGrijsZwart,WhiteGreyBlack,BlancGrisNoir,WeissGrauSchwarz,BiancoGrigioNero,ホワイトグレーブラック,BrancoPardoNegro,БелыйСерыйЧерный,BlancoGrisNegro,BeyazGriSiyah,BiałoSzaroCzarny
156,0,0,0,灰棕黑,GrijsBruinZwart,GreyBrownBlack,GrisBrunNoir,GrauBraunSchwarz,GrigioMarroneNero,グレーブラウンブラック,PardoCastanhoNegro,СерыйКоричневыйЧерный,GrisMarrónNegro,GriKahverengiSiyah,SzaroBrązowoCzarny
157,0,0,0,白粉黑,WitRoseZwart,WhitePinkBlack,BlancRoseNoir,WeissRosaSchwarz,BiancoRosaNero,ホワイトピンクブラック,BrancoRosaNegro,БелыйРозовыйЧерный,BlancoRosaNegro,BeyazPembeSiyah,BiałoRóżowoCzarny
158,0,0,0,粉棕黑,RoseBruinZwart,PinkBrownBlack,RoseBrunNoir,RosaBraunSchwarz,RosaMarroneNero,ピンクブラウンブラック,RosaCastanhoNegro,РозовыйКоричневыйЧерный,RosaMarrónNegro,PembeKahverengiSiyah,RóżowoBrązowoCzarny
159,0,0,0,白蓝黑,WitBlauwZwart,WhiteBlueBlack,BlancBleuNoir,WeissBlueSchwarz,BiancoAzzurroNero,ホワイトブルーブラック,BrancoAzulNegro,БелыйСинийЧерный,BlancoAzulNegro,BeyazMaviSiyah,BiałoNiebieskoCzarny
160,0,0,0,棕蓝黑,BruinBlauwZwart,BrownBlueBlack,BrunBleuNoir,BraunBlauSchwarz,MarroneAzzurroNero,ブラウンブルーブラック,CastanhoAzulNegro,КоричневыйСинийЧерный,MarrónAzulNegro,KahverengiMaviSiyah,BrązowoNiebieskoCzarny
161,0,0,0,白红黑,WitRoodZwart,WhiteRedBlack,BlancRougeNoir,WeissRotSchwarz,BiancoRossoNero,ホワイトレッドブラック,BrancoVermelhoNegro,БелыйКрасныйЧерный,BlancoRojoNegro,BeyazKırmızıSiyah,BialoCzerwonoCzarny
162,0,0,0,棕红黑,BruinRoodZwart,BrownRedBlack,BrunRougeNoir,BraunRotSchwarz,MarroneRossoNero,ブラウンレッドブラック,CastanhoVermelhoNegro,КоричневыйКрасныйЧерный,MarrónRojoNegro,KahverengiKırmızıSiyah,BrązowoCzerwonoCzarny
163,0,0,0,黑51,Zwart51,Black51,Noir51,Schwarz51,Nero51,ブラック51,Negro51,Черный51,Negro51,Siyah51,Czarny51
164,0,0,0,黑52,Zwart52,Black52,Noir52,Schwarz52,Nero52,ブラック52,Negro52,Черный52,Negro52,Siyah52,Czarny52
165,0,0,0,黑53,Zwart53,Black53,Noir53,Schwarz53,Nero53,ブラック53,Negro53,Черный53,Negro53,Siyah53,Czarny53
166,0,0,0,黑54,Zwart54,Black54,Noir54,Schwarz54,Nero54,ブラック54,Negro54,Черный54,Negro54,Siyah54,Czarny54
167,0,0,0,黑55,Zwart55,Black55,Noir55,Schwarz55,Nero55,ブラック55,Negro55,Черный55,Negro55,Siyah55,Czarny55
168,0,0,0,白1,Wit1,White1,Blanc1,Weiss1,Bianco1,白1,Branco1,белый1,Blanco1,Beyaz1,Biały1
169,0,0,0,白2,Wit2,White2,Blanc2,Weiss2,Bianco2,白2,Branco2,белый2,Blanco2,Beyaz2,Biały2
170,0,0,0,白3,Wit3,White3,Blanc3,Weiss3,Bianco3,白3,Branco3,белый3,Blanco3,Beyaz3,Biały3
171,0,0,0,白4,Wit4,White4,Blanc4,Weiss4,Bianco4,白4,Branco4,белый4,Blanco4,Beyaz4,Biały4
172,0,0,0,白5,Wit5,White5,Blanc5,Weiss5,Bianco5,白5,Branco5,белый5,Blanco5,Beyaz5,Biały5
173,0,0,0,白6,Wit6,White6,Blanc6,Weiss6,Bianco6,白6,Branco6,белый6,Blanco6,Beyaz6,Biały6
174,0,0,0,白7,Wit7,White7,Blanc7,Weiss7,Bianco7,白7,Branco7,белый7,Blanco7,Beyaz7,Biały7
175,0,0,0,白8,Wit8,White8,Blanc8,Weiss8,Bianco8,白8,Branco8,белый8,Blanco8,Beyaz8,Biały8
176,0,0,0,白9,Wit9,White9,Blanc9,Weiss9,Bianco9,白9,Branco9,белый9,Blanco9,Beyaz9,Biały9
177,0,0,0,白10,Wit10,White10,Blanc10,Weiss10,Bianco10,白10,Branco10,белый10,Blanco10,Beyaz10,Biały10
178,0,0,0,白11,Wit11,White11,Blanc11,Weiss11,Bianco11,白11,Branco11,белый11,Blanco11,Beyaz11,Biały11
179,0,0,0,白12,Wit12,White12,Blanc12,Weiss12,Bianco12,白12,Branco12,белый12,Blanco12,Beyaz12,Biały12
180,0,0,0,白13,Wit13,White13,Blanc13,Weiss13,Bianco13,白13,Branco13,белый13,Blanco13,Beyaz13,Biały13
181,0,0,0,白14,Wit14,White14,Blanc14,Weiss14,Bianco14,白14,Branco14,белый14,Blanco14,Beyaz14,Biały14
182,0,0,0,白15,Wit15,White15,Blanc15,Weiss15,Bianco15,白15,Branco15,белый15,Blanco15,Beyaz15,Biały15
183,0,0,0,白16,Wit16,White16,Blanc16,Weiss16,Bianco16,白16,Branco16,белый16,Blanco16,Beyaz16,Biały16
184,0,0,0,白17,Wit17,White17,Blanc17,Weiss17,Bianco17,白17,Branco17,белый17,Blanco17,Beyaz17,Biały17
185,0,0,0,白18,Wit18,White18,Blanc18,Weiss18,Bianco18,白18,Branco18,белый18,Blanco18,Beyaz18,Biały18
186,0,0,0,白19,Wit19,White19,Blanc19,Weiss19,Bianco19,白19,Branco19,белый19,Blanco19,Beyaz19,Biały19
187,0,0,0,白20,Wit20,White20,Blanc20,Weiss20,Bianco20,白20,Branco20,белый20,Blanco20,Beyaz20,Biały20
188,0,0,0,白21,Wit21,White21,Blanc21,Weiss21,Bianco21,白21,Branco21,белый21,Blanco21,Beyaz21,Biały21
189,0,0,0,白22,Wit22,White22,Blanc22,Weiss22,Bianco22,白22,Branco22,белый22,Blanco22,Beyaz22,Biały22
190,0,0,0,白23,Wit23,White23,Blanc23,Weiss23,Bianco23,白23,Branco23,белый23,Blanco23,Beyaz23,Biały23
191,0,0,0,白24,Wit24,White24,Blanc24,Weiss24,Bianco24,白24,Branco24,белый24,Blanco24,Beyaz24,Biały24
192,0,0,0,白25,Wit25,White25,Blanc25,Weiss25,Bianco25,白25,Branco25,белый25,Blanco25,Beyaz25,Biały25
193,0,0,0,白26,Wit26,White26,Blanc26,Weiss26,Bianco26,白26,Branco26,белый26,Blanco26,Beyaz26,Biały26
194,0,0,0,白27,Wit27,White27,Blanc27,Weiss27,Bianco27,白27,Branco27,белый27,Blanco27,Beyaz27,Biały27
195,0,0,0,白28,Wit28,White28,Blanc28,Weiss28,Bianco28,白28,Branco28,белый28,Blanco28,Beyaz28,Biały28
196,0,0,0,白29,Wit29,White29,Blanc29,Weiss29,Bianco29,白29,Branco29,белый29,Blanco29,Beyaz29,Biały29
197,0,0,0,白30,Wit30,White30,Blanc30,Weiss30,Bianco30,白30,Branco30,белый30,Blanco30,Beyaz30,Biały30
198,0,0,0,白31,Wit31,White31,Blanc31,Weiss31,Bianco31,白31,Branco31,белый31,Blanco31,Beyaz31,Biały31
199,0,0,0,白32,Wit32,White32,Blanc32,Weiss32,Bianco32,白32,Branco32,белый32,Blanco32,Beyaz32,Biały32
200,0,0,0,白33,Wit33,White33,Blanc33,Weiss33,Bianco33,白33,Branco33,белый33,Blanco33,Beyaz33,Biały33
201,0,0,0,白34,Wit34,White34,Blanc34,Weiss34,Bianco34,白34,Branco34,белый34,Blanco34,Beyaz34,Biały34
202,0,0,0,白35,Wit35,White35,Blanc35,Weiss35,Bianco35,白35,Branco35,белый35,Blanco35,Beyaz35,Biały35
203,0,0,0,白36,Wit36,White36,Blanc36,Weiss36,Bianco36,白36,Branco36,белый36,Blanco36,Beyaz36,Biały36
204,0,0,0,白37,Wit37,White37,Blanc37,Weiss37,Bianco37,白37,Branco37,белый37,Blanco37,Beyaz37,Biały37
205,0,0,0,白38,Wit38,White38,Blanc38,Weiss38,Bianco38,白38,Branco38,белый38,Blanco38,Beyaz38,Biały38
206,0,0,0,白39,Wit39,White39,Blanc39,Weiss39,Bianco39,白39,Branco39,белый39,Blanco39,Beyaz39,Biały39
207,0,0,0,白40,Wit40,White40,Blanc40,Weiss40,Bianco40,白40,Branco40,белый40,Blanco40,Beyaz40,Biały40
208,0,0,0,白41,Wit41,White41,Blanc41,Weiss41,Bianco41,白41,Branco41,белый41,Blanco41,Beyaz41,Biały41
209,0,0,0,白42,Wit42,White42,Blanc42,Weiss42,Bianco42,白42,Branco42,белый42,Blanco42,Beyaz42,Biały42
210,0,0,0,白43,Wit43,White43,Blanc43,Weiss43,Bianco43,白43,Branco43,белый43,Blanco43,Beyaz43,Biały43
211,0,0,0,白44,Wit44,White44,Blanc44,Weiss44,Bianco44,白44,Branco44,белый44,Blanco44,Beyaz44,Biały44
212,0,0,0,白45,Wit45,White45,Blanc45,Weiss45,Bianco45,白45,Branco45,белый45,Blanco45,Beyaz45,Biały45
213,0,0,0,白46,Wit46,White46,Blanc46,Weiss46,Bianco46,白46,Branco46,белый46,Blanco46,Beyaz46,Biały46
214,0,0,0,白47,Wit47,White47,Blanc47,Weiss47,Bianco47,白47,Branco47,белый47,Blanco47,Beyaz47,Biały47
215,0,0,0,白48,Wit48,White48,Blanc48,Weiss48,Bianco48,白48,Branco48,белый48,Blanco48,Beyaz48,Biały48
216,0,0,0,白49,Wit49,White49,Blanc49,Weiss49,Bianco49,白49,Branco49,белый49,Blanco49,Beyaz49,Biały49
217,0,0,0,白50,Wit50,White50,Blanc50,Weiss50,Bianco50,白50,Branco50,белый50,Blanco50,Beyaz50,Biały50
218,0,0,0,白51,Wit51,White51,Blanc51,Weiss51,Bianco51,白51,Branco51,белый51,Blanco51,Beyaz51,Biały51
219,0,0,0,白52,Wit52,White52,Blanc52,Weiss52,Bianco52,白52,Branco52,белый52,Blanco52,Beyaz52,Biały52
220,0,0,0,白53,Wit53,White53,Blanc53,Weiss53,Bianco53,白53,Branco53,белый53,Blanco53,Beyaz53,Biały53
221,0,0,0,白54,Wit54,White54,Blanc54,Weiss54,Bianco54,白54,Branco54,белый54,Blanco54,Beyaz54,Biały54
222,0,0,0,白55,Wit55,White55,Blanc55,Weiss55,Bianco55,白55,Branco55,белый55,Blanco55,Beyaz55,Biały55
223,0,0,0,蓝红黑,BlauwRoodZwart,BlueRedBlack,BleuRougeNoir,BlauRotSchwarz,AzzurroRossoNero,ブルーレッドブラック,,СинийКрасныйЧерный,,MaviKırmızıSiyah,NiebieskoCzerwonoCzarny
224,0,0,0,绿棕黑,GroenBruinZwart,GreenBrownBlack,VertBrunNoir,GrünBraunSchwarz,VerdeMarroneNero,グリーンブラウンブラック,,ЗеленыйКоричневыйЧерный,,YeşilKahverengiSiyah,ZielonoBrązowoCzarny
225,0,0,0,白紫,WitPaars,WhiteViolet,BlancViolet ,WeissViolett,BiancoViola,ホワイトバイオレット,,БелыйФиолетовый,,BeyarMor,BiałoFioletowy
226,0,0,0,棕橙,BruinOranje,BrownOrange,BrunOrange,BraunOrange,MarroneArancione,ブラウンオレンジ,,КоричневыйОранжевый,,KahverengiTuruncu,BrązowoPomarańczowy
227,0,0,0,棕紫,BruinPaars,BrownViolet,BrunViolet,BraunViolett,MarroneViola,ブラウンバイオレット,,КоричневыйФиолетовый,,KahverengiMor,BrązowoFioletowy
228,0,0,0,棕灰,BruinGrijs,BrownGrey,BrunGris,BraunGrau,MarroneGrigio,ブラウングレー,,КоричневыйСерый,,KahverengiGri,BrązowoSzary
229,0,0,0,绿橙,GroenOranje,GreenOrange,VertOrange,GrünOrange,VerdeArancione,グリーンオレンジ,,ЗеленыйОранжевый,,YeşilTuruncu,ZielonoPomarańczowy
230,0,0,0,绿紫,GroenPaars,GreenViolet,VertViolet,GrünViolett,VerdeViola,グリーンバイオレット,,ЗеленыйФиолетовый,,YeşilMor,ZielonoFioletowy
231,0,0,0,黄橙,GeelOranje,YellowOrange,JauneOrange,GelbOrange,GialloArancione,イエローオレンジ,,ЖелтыйОранжевый,,SarıTuruncu,ŻółtoPomarańczowy
232,0,0,0,黄紫,GeelPaars,YellowViolet,JauneViolet,GelbViolett,GialloViola,イエローバイオレット,,ЖелтыйФиолетовый,,SarıMor,ŻółtoFioletowy
233,0,0,0,深蓝黑,DonkerblauwZwart,Dark blueBlack,BleuFoncéNoir,DunkelblauSchwarz,BluNero,ダークブルーブラック,,Темно-синийЧерный,,KoyumaviSiyah,CiemnoniebieskoCzarny
234,0,0,0,本色,Naturel,Nature,Nature,Natur,Naturale,ナチュラル,,Естественный,,Doğal,Naturalny
235,0,0,0,白色透明,WitTransparent,WhiteTransparent,Blanc transparent,WeissTransparent,BiancoTrasparente,白透明,,БелыйПрозрачный,,BeyazŞeffaf,BiałyPrzeźroczysty
