CrossSection,Description,Flags,ID,Type
6.630000114440918,AWG 9,3,154,0
0.257999986410141,AWG 23,3,155,0
18.0,1.8 mm,2,161,2
24.0,2.4 mm,2,162,2
25.899999618530273,2.59 mm,2,163,2
33.0,3.3 mm,2,164,2
14.0,1.4 mm,2,165,2
17.0,1.7 mm,2,166,2
21.0,2.1 mm,2,167,2
20.0,2.0 mm,2,168,2
26.0,2.6 mm,2,169,2
49.0,4.9 mm,2,170,2
51.0,5.1 mm,2,171,2
46.0,"Ø 4/2,6mm",2,172,1
21.0,"Ø 3/2,1mm",2,173,1
10.0,1.0 mm,2,174,2
11.0,1.1 mm,2,175,2
12.0,1.2 mm,2,176,2
13.0,1.3 mm,2,177,2
15.0,1.5 mm,2,178,2
16.0,1.6 mm,2,179,2
19.0,1.9 mm,2,180,2
22.0,2.2 mm,2,181,2
23.0,2.3 mm,2,182,2
25.0,2.5 mm,2,183,2
27.0,2.7 mm,2,184,2
28.0,2.8 mm,2,185,2
29.0,2.9 mm,2,186,2
30.0,3.0 mm,2,187,2
31.0,3.1 mm,2,188,2
32.0,3.2 mm,2,189,2
34.0,3.4 mm,2,190,2
35.0,3.5 mm,2,191,2
36.0,3.6 mm,2,192,2
50.0,5.0 mm,2,193,2
52.0,5.2 mm,2,194,2
53.0,5.3 mm,2,195,2
54.0,5.4 mm,2,196,2
55.0,5.5 mm,2,197,2
56.0,5.6 mm,2,198,2
57.0,5.7 mm,2,199,2
58.0,5.8 mm,2,200,2
59.0,5.9 mm,2,201,2
60.0,6.0 mm,2,202,2
70.0,7.0 mm,2,203,2
4.199999809265137,0.42  mm,2,281,2
5.599999904632568,0.56  mm,2,282,2
6.5,0.65  mm,2,283,2
7.900000095367432,0.79  mm,2,284,2
8.5,0.85  mm,2,285,2
9.5,0.95  mm,2,286,2
9.699999809265137,0.97  mm,2,287,2
12.5,1.25  mm,2,288,2
13.800000190734863,1.38  mm,2,289,2
15.199999809265137,1.52  mm,2,290,2
17.799999237060547,1.78  mm,2,291,2
22.5,2.25  mm,2,292,2
26.5,2.65  mm,2,293,2
27.600000381469727,2.76  mm,2,294,2
29.5,2.95  mm,2,295,2
30.5,3.05  mm,2,296,2
37.0,3.7  mm,2,297,2
38.0,3.8  mm,2,298,2
39.0,3.9  mm,2,299,2
40.0,4  mm,2,300,2
41.0,4.1  mm,2,301,2
42.0,4.2  mm,2,302,2
43.0,4.3  mm,2,303,2
44.0,4.4  mm,2,304,2
45.0,4.5  mm,2,305,2
47.0,4.7  mm,2,306,2
48.0,4.8  mm,2,307,2
64.0,6.4  mm,2,308,2
65.0,6.5  mm,2,309,2
66.0,6.6  mm,2,310,2
67.0,6.7  mm,2,311,2
72.0,7.2  mm,2,312,2
72.4000015258789,7.24  mm,2,313,2
75.0,7.5  mm,2,314,2
78.0,7.8  mm,2,315,2
