Color,ColorCode,Linetype,Type,DESCRIPTION_34,DESCRIPTION_86,DESCRIPTION_49,DESCRIPTION_44,DESCRIPTION_33,DESCRIPTION_39,DESCRIPTION_81,DESCRIPTION_31,DESCRIPTION_351,DESCRIPTION_07,DESCRIPTION_90,DESCRIPTION_48
0,154,0,0,AmarilloMarrónNegro,黄棕黑,GelbBraunSchwarz,YellowBrownBlack,JauneBrunNoir,GialloMarroneNero,イエローブラウンブラック,GeelBruinZwart,AmareloCastanhoNegro,ЖелтыйКоричневыйЧерный,SarıKahverengiSiyah,ŻółtoBrązowoCzarny
0,155,0,0,BlancoGrisNegro,白灰黑,WeissGrauSchwarz,WhiteGreyBlack,BlancGrisNoir,BiancoGrigioNero,ホワイトグレーブラック,WitGrijsZwart,BrancoPardoNegro,БелыйСерыйЧерный,BeyazGriSiyah,BiałoSzaroCzarny
0,156,0,0,GrisMarrónNegro,灰棕黑,GrauBraunSchwarz,GreyBrownBlack,GrisBrunNoir,GrigioMarroneNero,グレーブラウンブラック,GrijsBruinZwart,PardoCastanhoNegro,СерыйКоричневыйЧерный,GriKahverengiSiyah,SzaroBrązowoCzarny
0,157,0,0,BlancoRosaNegro,白粉黑,WeissRosaSchwarz,WhitePinkBlack,BlancRoseNoir,BiancoRosaNero,ホワイトピンクブラック,WitRoseZwart,BrancoRosaNegro,БелыйРозовыйЧерный,BeyazPembeSiyah,BiałoRóżowoCzarny
0,158,0,0,RosaMarrónNegro,粉棕黑,RosaBraunSchwarz,PinkBrownBlack,RoseBrunNoir,RosaMarroneNero,ピンクブラウンブラック,RoseBruinZwart,RosaCastanhoNegro,РозовыйКоричневыйЧерный,PembeKahverengiSiyah,RóżowoBrązowoCzarny
0,159,0,0,BlancoAzulNegro,白蓝黑,WeissBlueSchwarz,WhiteBlueBlack,BlancBleuNoir,BiancoAzzurroNero,ホワイトブルーブラック,WitBlauwZwart,BrancoAzulNegro,БелыйСинийЧерный,BeyazMaviSiyah,BiałoNiebieskoCzarny
0,160,0,0,MarrónAzulNegro,棕蓝黑,BraunBlauSchwarz,BrownBlueBlack,BrunBleuNoir,MarroneAzzurroNero,ブラウンブルーブラック,BruinBlauwZwart,CastanhoAzulNegro,КоричневыйСинийЧерный,KahverengiMaviSiyah,BrązowoNiebieskoCzarny
0,161,0,0,BlancoRojoNegro,白红黑,WeissRotSchwarz,WhiteRedBlack,BlancRougeNoir,BiancoRossoNero,ホワイトレッドブラック,WitRoodZwart,BrancoVermelhoNegro,БелыйКрасныйЧерный,BeyazKırmızıSiyah,BialoCzerwonoCzarny
0,162,0,0,MarrónRojoNegro,棕红黑,BraunRotSchwarz,BrownRedBlack,BrunRougeNoir,MarroneRossoNero,ブラウンレッドブラック,BruinRoodZwart,CastanhoVermelhoNegro,КоричневыйКрасныйЧерный,KahverengiKırmızıSiyah,BrązowoCzerwonoCzarny
0,163,0,0,Negro51,黑51,Schwarz51,Black51,Noir51,Nero51,ブラック51,Zwart51,Negro51,Черный51,Siyah51,Czarny51
0,164,0,0,Negro52,黑52,Schwarz52,Black52,Noir52,Nero52,ブラック52,Zwart52,Negro52,Черный52,Siyah52,Czarny52
0,165,0,0,Negro53,黑53,Schwarz53,Black53,Noir53,Nero53,ブラック53,Zwart53,Negro53,Черный53,Siyah53,Czarny53
0,166,0,0,Negro54,黑54,Schwarz54,Black54,Noir54,Nero54,ブラック54,Zwart54,Negro54,Черный54,Siyah54,Czarny54
0,167,0,0,Negro55,黑55,Schwarz55,Black55,Noir55,Nero55,ブラック55,Zwart55,Negro55,Черный55,Siyah55,Czarny55
0,168,0,0,Blanco1,白1,Weiss1,White1,Blanc1,Bianco1,白1,Wit1,Branco1,белый1,Beyaz1,Biały1
0,169,0,0,Blanco2,白2,Weiss2,White2,Blanc2,Bianco2,白2,Wit2,Branco2,белый2,Beyaz2,Biały2
0,170,0,0,Blanco3,白3,Weiss3,White3,Blanc3,Bianco3,白3,Wit3,Branco3,белый3,Beyaz3,Biały3
0,171,0,0,Blanco4,白4,Weiss4,White4,Blanc4,Bianco4,白4,Wit4,Branco4,белый4,Beyaz4,Biały4
0,172,0,0,Blanco5,白5,Weiss5,White5,Blanc5,Bianco5,白5,Wit5,Branco5,белый5,Beyaz5,Biały5
0,173,0,0,Blanco6,白6,Weiss6,White6,Blanc6,Bianco6,白6,Wit6,Branco6,белый6,Beyaz6,Biały6
0,174,0,0,Blanco7,白7,Weiss7,White7,Blanc7,Bianco7,白7,Wit7,Branco7,белый7,Beyaz7,Biały7
0,175,0,0,Blanco8,白8,Weiss8,White8,Blanc8,Bianco8,白8,Wit8,Branco8,белый8,Beyaz8,Biały8
0,176,0,0,Blanco9,白9,Weiss9,White9,Blanc9,Bianco9,白9,Wit9,Branco9,белый9,Beyaz9,Biały9
0,177,0,0,Blanco10,白10,Weiss10,White10,Blanc10,Bianco10,白10,Wit10,Branco10,белый10,Beyaz10,Biały10
0,178,0,0,Blanco11,白11,Weiss11,White11,Blanc11,Bianco11,白11,Wit11,Branco11,белый11,Beyaz11,Biały11
0,179,0,0,Blanco12,白12,Weiss12,White12,Blanc12,Bianco12,白12,Wit12,Branco12,белый12,Beyaz12,Biały12
0,180,0,0,Blanco13,白13,Weiss13,White13,Blanc13,Bianco13,白13,Wit13,Branco13,белый13,Beyaz13,Biały13
0,181,0,0,Blanco14,白14,Weiss14,White14,Blanc14,Bianco14,白14,Wit14,Branco14,белый14,Beyaz14,Biały14
0,182,0,0,Blanco15,白15,Weiss15,White15,Blanc15,Bianco15,白15,Wit15,Branco15,белый15,Beyaz15,Biały15
0,183,0,0,Blanco16,白16,Weiss16,White16,Blanc16,Bianco16,白16,Wit16,Branco16,белый16,Beyaz16,Biały16
0,184,0,0,Blanco17,白17,Weiss17,White17,Blanc17,Bianco17,白17,Wit17,Branco17,белый17,Beyaz17,Biały17
0,185,0,0,Blanco18,白18,Weiss18,White18,Blanc18,Bianco18,白18,Wit18,Branco18,белый18,Beyaz18,Biały18
0,186,0,0,Blanco19,白19,Weiss19,White19,Blanc19,Bianco19,白19,Wit19,Branco19,белый19,Beyaz19,Biały19
0,187,0,0,Blanco20,白20,Weiss20,White20,Blanc20,Bianco20,白20,Wit20,Branco20,белый20,Beyaz20,Biały20
0,188,0,0,Blanco21,白21,Weiss21,White21,Blanc21,Bianco21,白21,Wit21,Branco21,белый21,Beyaz21,Biały21
0,189,0,0,Blanco22,白22,Weiss22,White22,Blanc22,Bianco22,白22,Wit22,Branco22,белый22,Beyaz22,Biały22
0,190,0,0,Blanco23,白23,Weiss23,White23,Blanc23,Bianco23,白23,Wit23,Branco23,белый23,Beyaz23,Biały23
0,191,0,0,Blanco24,白24,Weiss24,White24,Blanc24,Bianco24,白24,Wit24,Branco24,белый24,Beyaz24,Biały24
0,192,0,0,Blanco25,白25,Weiss25,White25,Blanc25,Bianco25,白25,Wit25,Branco25,белый25,Beyaz25,Biały25
0,193,0,0,Blanco26,白26,Weiss26,White26,Blanc26,Bianco26,白26,Wit26,Branco26,белый26,Beyaz26,Biały26
0,194,0,0,Blanco27,白27,Weiss27,White27,Blanc27,Bianco27,白27,Wit27,Branco27,белый27,Beyaz27,Biały27
0,195,0,0,Blanco28,白28,Weiss28,White28,Blanc28,Bianco28,白28,Wit28,Branco28,белый28,Beyaz28,Biały28
0,196,0,0,Blanco29,白29,Weiss29,White29,Blanc29,Bianco29,白29,Wit29,Branco29,белый29,Beyaz29,Biały29
0,197,0,0,Blanco30,白30,Weiss30,White30,Blanc30,Bianco30,白30,Wit30,Branco30,белый30,Beyaz30,Biały30
0,198,0,0,Blanco31,白31,Weiss31,White31,Blanc31,Bianco31,白31,Wit31,Branco31,белый31,Beyaz31,Biały31
0,199,0,0,Blanco32,白32,Weiss32,White32,Blanc32,Bianco32,白32,Wit32,Branco32,белый32,Beyaz32,Biały32
0,200,0,0,Blanco33,白33,Weiss33,White33,Blanc33,Bianco33,白33,Wit33,Branco33,белый33,Beyaz33,Biały33
0,201,0,0,Blanco34,白34,Weiss34,White34,Blanc34,Bianco34,白34,Wit34,Branco34,белый34,Beyaz34,Biały34
0,202,0,0,Blanco35,白35,Weiss35,White35,Blanc35,Bianco35,白35,Wit35,Branco35,белый35,Beyaz35,Biały35
0,203,0,0,Blanco36,白36,Weiss36,White36,Blanc36,Bianco36,白36,Wit36,Branco36,белый36,Beyaz36,Biały36
0,204,0,0,Blanco37,白37,Weiss37,White37,Blanc37,Bianco37,白37,Wit37,Branco37,белый37,Beyaz37,Biały37
0,205,0,0,Blanco38,白38,Weiss38,White38,Blanc38,Bianco38,白38,Wit38,Branco38,белый38,Beyaz38,Biały38
0,206,0,0,Blanco39,白39,Weiss39,White39,Blanc39,Bianco39,白39,Wit39,Branco39,белый39,Beyaz39,Biały39
0,207,0,0,Blanco40,白40,Weiss40,White40,Blanc40,Bianco40,白40,Wit40,Branco40,белый40,Beyaz40,Biały40
0,208,0,0,Blanco41,白41,Weiss41,White41,Blanc41,Bianco41,白41,Wit41,Branco41,белый41,Beyaz41,Biały41
0,209,0,0,Blanco42,白42,Weiss42,White42,Blanc42,Bianco42,白42,Wit42,Branco42,белый42,Beyaz42,Biały42
0,210,0,0,Blanco43,白43,Weiss43,White43,Blanc43,Bianco43,白43,Wit43,Branco43,белый43,Beyaz43,Biały43
0,211,0,0,Blanco44,白44,Weiss44,White44,Blanc44,Bianco44,白44,Wit44,Branco44,белый44,Beyaz44,Biały44
0,212,0,0,Blanco45,白45,Weiss45,White45,Blanc45,Bianco45,白45,Wit45,Branco45,белый45,Beyaz45,Biały45
0,213,0,0,Blanco46,白46,Weiss46,White46,Blanc46,Bianco46,白46,Wit46,Branco46,белый46,Beyaz46,Biały46
0,214,0,0,Blanco47,白47,Weiss47,White47,Blanc47,Bianco47,白47,Wit47,Branco47,белый47,Beyaz47,Biały47
0,215,0,0,Blanco48,白48,Weiss48,White48,Blanc48,Bianco48,白48,Wit48,Branco48,белый48,Beyaz48,Biały48
0,216,0,0,Blanco49,白49,Weiss49,White49,Blanc49,Bianco49,白49,Wit49,Branco49,белый49,Beyaz49,Biały49
0,217,0,0,Blanco50,白50,Weiss50,White50,Blanc50,Bianco50,白50,Wit50,Branco50,белый50,Beyaz50,Biały50
0,218,0,0,Blanco51,白51,Weiss51,White51,Blanc51,Bianco51,白51,Wit51,Branco51,белый51,Beyaz51,Biały51
0,219,0,0,Blanco52,白52,Weiss52,White52,Blanc52,Bianco52,白52,Wit52,Branco52,белый52,Beyaz52,Biały52
0,220,0,0,Blanco53,白53,Weiss53,White53,Blanc53,Bianco53,白53,Wit53,Branco53,белый53,Beyaz53,Biały53
0,221,0,0,Blanco54,白54,Weiss54,White54,Blanc54,Bianco54,白54,Wit54,Branco54,белый54,Beyaz54,Biały54
0,222,0,0,Blanco55,白55,Weiss55,White55,Blanc55,Bianco55,白55,Wit55,Branco55,белый55,Beyaz55,Biały55
0,223,0,0,,蓝红黑,BlauRotSchwarz,BlueRedBlack,BleuRougeNoir,AzzurroRossoNero,ブルーレッドブラック,BlauwRoodZwart,,СинийКрасныйЧерный,MaviKırmızıSiyah,NiebieskoCzerwonoCzarny
0,224,0,0,,绿棕黑,GrünBraunSchwarz,GreenBrownBlack,VertBrunNoir,VerdeMarroneNero,グリーンブラウンブラック,GroenBruinZwart,,ЗеленыйКоричневыйЧерный,YeşilKahverengiSiyah,ZielonoBrązowoCzarny
0,225,0,0,,白紫,WeissViolett,WhiteViolet,BlancViolet ,BiancoViola,ホワイトバイオレット,WitPaars,,БелыйФиолетовый,BeyarMor,BiałoFioletowy
0,226,0,0,,棕橙,BraunOrange,BrownOrange,BrunOrange,MarroneArancione,ブラウンオレンジ,BruinOranje,,КоричневыйОранжевый,KahverengiTuruncu,BrązowoPomarańczowy
0,227,0,0,,棕紫,BraunViolett,BrownViolet,BrunViolet,MarroneViola,ブラウンバイオレット,BruinPaars,,КоричневыйФиолетовый,KahverengiMor,BrązowoFioletowy
0,228,0,0,,棕灰,BraunGrau,BrownGrey,BrunGris,MarroneGrigio,ブラウングレー,BruinGrijs,,КоричневыйСерый,KahverengiGri,BrązowoSzary
0,229,0,0,,绿橙,GrünOrange,GreenOrange,VertOrange,VerdeArancione,グリーンオレンジ,GroenOranje,,ЗеленыйОранжевый,YeşilTuruncu,ZielonoPomarańczowy
0,230,0,0,,绿紫,GrünViolett,GreenViolet,VertViolet,VerdeViola,グリーンバイオレット,GroenPaars,,ЗеленыйФиолетовый,YeşilMor,ZielonoFioletowy
0,231,0,0,,黄橙,GelbOrange,YellowOrange,JauneOrange,GialloArancione,イエローオレンジ,GeelOranje,,ЖелтыйОранжевый,SarıTuruncu,ŻółtoPomarańczowy
0,232,0,0,,黄紫,GelbViolett,YellowViolet,JauneViolet,GialloViola,イエローバイオレット,GeelPaars,,ЖелтыйФиолетовый,SarıMor,ŻółtoFioletowy
0,233,0,0,,深蓝黑,DunkelblauSchwarz,Dark blueBlack,BleuFoncéNoir,BluNero,ダークブルーブラック,DonkerblauwZwart,,Темно-синийЧерный,KoyumaviSiyah,CiemnoniebieskoCzarny
0,234,0,0,,本色,Natur,Nature,Nature,Naturale,ナチュラル,Naturel,,Естественный,Doğal,Naturalny
0,235,0,0,,白色透明,WeissTransparent,WhiteTransparent,Blanc transparent,BiancoTrasparente,白透明,WitTransparent,,БелыйПрозрачный,BeyazŞeffaf,BiałyPrzeźroczysty
