AttributeID,AttributeName,Color,DefaultValue,Direction,Format,Hidden,Level,MustExist,Owner,Owner2,PositionX,PositionY,Ratio,SingleInstance,Size,Typ,Visible,ASSIGNED_LIST,Usage_Description,UNIQUE_VALUE,DESCRIPTION_34,DESCRIPTION_86,DESCRIPTION_49,DESCRIPTION_44,DESCRIPTION_33,DESCRIPTION_39,DESCRIPTION_81,DESCRIPTION_31,DESCRIPTION_351,DESCRIPTION_07,DESCRIPTION_90,Flags2,DESCRIPTION_48
0,.CALC_PARAM_AMBIENT_TEMP,1,,1,## °C,False,1,False,6,0,0.0,-40.0,1,True,25.0,2,1,,,,Temperatura ambiente [grados C],环境温度(摄氏度),Umgebungstemperatur [Grad C],Ambient temperature [degrees C],Température extérieure [degrés C],Temperatura ambiente [C°],周辺温度 [℃],buitentemperatuur [graden Celsius],Temperatura Ambiente [Graus Celsius],Наружная температура [градусы Цельсия],Ortam sıcaklığı [derece C],0,Temperatura otoczenia [stopnie C]
0,.CALC_PARAM_CURRENT,1,,1,#.### A,False,1,False,32,0,0.0,-40.0,1,True,25.0,2,1,,Calculation,,Corriente [A],电流[A],Stromwert [A],Current [A],Courant [A],Corrente [A],電流 [A],stroom [A],Corrente [A],Ток [A],Akım [A],0,Prąd [A]
0,.CALC_PARAM_CURRENT_SWITCH_EXPRESSION,1,,1,VALUE,False,1,False,1140850688,0,0.0,-40.0,1,True,25.0,4,1,,Calculation,,Expresión de cambio de corriente,Current switch expression（当前开关标记）,Aktuelle Schalterstellung,Current switch expression,État actuel du commutateur ,Posizione interruttore,現在のスイッチ表記,actueel wisselstand,Expressão de troca atual,Текущее выражение переключателя,Güncel anahtar ifadesi,0,Przełączanie prądu
0,.CALC_PARAM_FUSE_SIZE,1,,1,# A,False,1,False,2080,0,0.0,-40.0,1,True,25.0,2,1,,Calculation,,Clasificación de fusible [A],熔线额定(电流)值[A],Leitungsschutzeinrichtungsgröße  [A],Fuse rating [A],calibre de fusible [A],Portata fusibile [A],フューズ定格 [A],zekeringswaarde [A],Categoria do Fusível [A],Номинал плавкого предохранителя [A],Sigorta Değeri [A],0,Obciążalność bezpiecznika [A]
0,.CALC_PARAM_LOAD_FACTOR,1,,1,VALUE,False,1,False,2080,0,0.0,-40.0,1,True,25.0,2,1,,Calculation,,Factor de carga,负载系数,Belastungsfaktor,Load factor,Facteur de charge,Fattore di carico,負荷要因,belastingsfaktor,Fator de carga [A],Коэффициент нагрузки,Yük Faktörü,0,Współczynnik obciążenia
0,.CALC_PARAM_NOMINAL_TEMP,1,,1,## °C,False,1,False,16384,2,0.0,-40.0,1,True,25.0,2,1,,Calculation,,Temperatura nominal [grados C],额定温度(摄氏度),Referenztemperatur [Grad C],Nominal temperature [degrees C],Température prescrite [degrés C],Temperatura nominale [Gradi centigradi],公称温度 [℃],nominale temperatuur [Grad Celsius],Temperatura Nominal [Graus Celsius],Номинальная температура [градусы Цельсия],Nominal sıcaklık [derece C],0,Nominalna temperatura [stopnie C]
0,.CALC_PARAM_OVER_CURRENT_RATIO,1,,1,VALUE,False,1,False,2080,0,0.0,-40.0,1,True,25.0,2,1,,Calculation,,Ratio de sobrecarga,过载电流率,Überstromfaktor,Over current ratio,Rapport surintensité,rapporto di sovvracorrente,過電流率,stroompiek,Relação de sobre-corrente,Кратность перегрузки,Geçerli oranın üzerinde,0,Współczynnik prądu przetężeniowego
0,.CALC_PARAM_PERMISSION_CURRENT,1,,1,#.### A,False,1,False,5440,0,0.0,-40.0,1,True,25.0,2,1,,Calculation,,Corriente permitida [A],Permission current（容许电流） [A],Strombelastung [A],Permission current [A],calculé : courant autorisé,Corrente di carico [A],許容電流[A],toegelaten stroom [A],Corrente Permitida [A],Допустимый ток [А],İzin verilen akım [A],0,Pobór prądu [A]
0,.CALC_PARAM_PIN_PROTECTION,1,,1,VALUE,False,1,False,5440,0,0.0,-40.0,1,True,25.0,5,1,,Calculation,,Protección de pin,针脚保护,Anschlusspunktschutz,Pin protection,Protection de broche,Protezione pin,保護端子,pin protectie,Proteção do Pino,Защита вывода,Pin koruması,0,Ochrona pinu
0,.CALC_PARAM_POWER_GROUND,1,,1,VALUE,False,1,False,5440,0,0.0,-40.0,1,True,25.0,5,1,,Calculation,,Ground,Ground,Masse,Ground,Ground,Massa,Ground,Ground,Ground,Ground,Ground,0,Uziemienie
0,.CALC_PARAM_RESISTANCE,1,,1,VALUE,False,1,False,1140855104,0,0.0,-40.0,1,True,25.0,2,1,,Calculation,,Resistencia (C) [Ohm],Resistance （电阻） [Ohm],Widerstand (C) [Ohm],Resistance (for Calculation) [Ohm],Résistance (C) [Ohm],Resistenza (C) [Ohm],抵抗(C) [Ω],Weerstand (C) [Ohm],Resistência (C) [Ohm],Сопротивление (C) [Ом],Direnç (C) [Ohm],0,Rezystancja (dla obliczeń) [Ohm]
0,.CALC_PARAM_VALID_SWITCH_EXPRESSION,1,,1,VALUE,False,1,False,1140850688,0,0.0,-40.0,1,False,25.0,4,1,,Calculation,1,Expresión de cambio válida,Valid switch expression（有效开关标记）,Gültige Schalterstellung,Valid switch expression,Position valide de l'interrupteur,Posizione valida interruttore,有効なスイッチ表記,geldig wisselstand,Expressão de troca válida,Действующее выражение переключателя,Geçerli anahtar ifadesi,0,Poprawne przedstawienie styków
0,.CALC_PARAM_VOLTAGE,1,,1,#.### V,False,1,False,5440,0,0.0,-40.0,1,True,25.0,2,1,,Calculation,,Suministro de voltaje [V],电源电压[V],Spannungsversorgung [V],Voltage supply [V],Tension d'alimentation,Tensione di alimentazione [V],供給電圧 [V],voedingsspanning,Voltagem da Fonte [V],Напряжение питания [V],Kaynak Gerilimi [V],0,Napięcie zasilania [V]
0,.CALC_PARAM_VOLTAGE_MAX,1,,1,#.### V,False,1,False,5440,0,0.0,-40.0,1,True,25.0,2,1,,Calculation,,Valor máximo de voltaje [V],最大电压值 [V],Max. Spannungswert [V],Maximum voltage value [V],Valeur maximale de tension [V],Valore massimo tensione [V],最高電圧値 [V],max. voedingsspanning [V],Valor Máximo de voltagem [V],Максимальное напряжение [V],Maksimum voltaj değeri [V],0,Maksymalna wartość napięcia [V]
0,.CALC_PARAM_VOLTAGE_MIN,1,,1,#.### V,False,1,False,5440,0,0.0,-40.0,1,True,25.0,2,1,,Calculation,,Valor mínimo de voltaje [V],最小电压值 [V],Min. Spannungswert [V],Minimum voltage value [V],Valeur minimale de tension [V],Valore minimo tensione [V],最低電圧値 [V],min. voedingsspanning [V],Valor Mínimo de voltagem [V],Минимальное напряжение [V],Minimum voltaj değeri [V],0,Minimalna wartość napięcia [V]
0,.CALC_PARAM_WIRE_KIND_ID,1,,1,VALUE,False,1,False,262148,0,0.0,-40.0,1,True,25.0,1,1,,Calculation,,Tipo de hilo,导线类别,Drahtmaterial,Wire kind,Type de fil,Materiale filo,ワイヤ種別,draad type,Tipo de Fio,Марка провода,Tel türü,0,Rodzaj przewodu
0,.CALC_RESULT_ACTUAL_RESISTANCE,1,,1,#.##### Ω,False,1,False,4,0,0.0,-40.0,1,True,25.0,2,1,,Calculation,,Resistencia actual [Ohm],Actual resistance（实效电阻 [Ohm]）,Aktueller Widerstand [Ohm],Actual resistance [Ohm],Résistance  actuel [Ohm],Resistenza attuale [Ohm],実抵抗[Ω],actueel weerstand [Ohm],Resistência atual [Ohm],Фактическое сопротивление [Ом],Gerçek direnç [Ohm],0,Aktualna rezystancja [Ohm]
0,.CALC_RESULT_CONDUCTOR_TEMP,1,,1,## °C,False,1,False,4,0,0.0,-40.0,1,True,25.0,2,1,,Calculation,,Calculado: Vena [grados C],计算：导线,Berechnet: Adertemperatur [Grad C],Calculated: Conductor temperature [degrees C],Calculé : température de brin [degrés C],Calcolato: Conduttore,算出: 導体温度 [℃],berekend: ader,Calculado: Temperatura do condutor [Graus Celsius],Рассчитано: Температура проводника [градусы Цельсия],Hesaplandı: İletken sıcaklığı [degree C],0,Wyliczony/a: Temperatura żyły [stopnie C]
0,.CALC_RESULT_CURRENT,1,,1,#.### A,False,1,False,5440,0,0.0,-40.0,1,True,25.0,2,1,,Calculation,,Calculado: Corriente [A],计算：电流[A],Berechnet: Stromwert [A],Calculated: Current [A],Calculé : courant [A],Calcolato: Corrente [A],算出: 電流 [A],berekend: stroom [A],Calculado: Corrente [A],Рассчитано: Ток [A],Hesaplandı: Akım [A],0,Wyliczony/a: Prąd [A]
0,.CALC_RESULT_FUSE_SIZE,1,,1,#.### A,False,1,False,5440,0,0.0,-40.0,1,True,25.0,2,1,,Calculation,,Calculado: Clasificación de fusible [A],计算：熔线额定(电流)值[A],Berechnet: Sicherungsgröße [A],Calculated: Fuse rating [A],Calculé : valeur du fusible [A],Calcolato: Portata fusibile [A],算出: フューズ定格 [A],berekend: zekeringswaarde [A],Calculado: Categoria do Fusível [A],Рассчитано: Номинальная характеристика плавления [A],Hesaplandı: Sigorta değeri [A],0,Wyliczony/a: Obciążalność bezpieczenika [A]
0,.CALC_RESULT_LOAD_FACTOR,1,,1,VALUE,False,1,False,4,0,0.0,-40.0,1,True,25.0,2,1,,Calculation,,Calculado: Factor de carga,计算：负载系数,Berechnet: Belastungsfaktor,Calculated: Load factor,Calculé : facteur de charge,Calcolato: fattore di carico,算出: 負荷要因,berekend: belastingsfaktor,Calculado: Fator de Carga,Рассчитано: Коэффициент нагрузки,Hesaplandı: Yük faktörü,0,Wyliczony/a: Wspołczynnik obciążenia
0,.CALC_RESULT_OPTIMUM_CURRENT,1,,1,#.### A,False,1,False,4,0,0.0,-40.0,1,True,25.0,2,1,,Calculation,,Calculado: Corriente óptima [A],计算：最佳电流[A],Berechnet: Optimaler Stromwert der Sicherungseinrichtung [A],Calculated: Optimum current [A],Calculé : courant optimal [A],Calcolato: Portata fusibile ottimale [A],算出: 最適電流 [A],berekend: optimaal stroom [A],Calculado: Corrente ideal [A],Рассчитано: Оптимальный ток [A],Hesaplandı: İdeal akım [A],0,Wyliczony/a: Optymalny prąd [A]
0,.CALC_RESULT_PERMISSION_CURRENT,1,,1,#.### A,False,1,False,4,0,0.0,-40.0,1,True,25.0,2,1,,Calculation,,Calculado: Permiso corriente [A],计算：允许电流,Berechnet: Strombelastung [A],Calculated: Permission current [A],calculé : courant autorisé [A],Calcolato: corrente ammessa [A],算出: 許容電流 [A],berekend: toegelaaten stroom,Calculado: Corrente permitida [A],Рассчитано: Допустимый ток [A],Hesaplandı: İzin verilen akım [A],0,Wyliczony/a: Dopuszczalny prąd [A]
0,.CALC_RESULT_VOLTAGE,1,,1,#.### V,False,1,False,5440,0,0.0,-40.0,1,True,25.0,2,1,,Calculation,,Calculado: Voltaje de suministro [V],计算：电源电压[V],Berechnet: Spannungsversorgung [V],Calculated: Supply voltage [V],Calculé : tension d'alimentation,Calcolato: tensione di alimentazione [V],算出: 供給電圧 [V],berekend: werkspanning [V],Calculado: Voltagem da Fonte [V],Рассчитано: Напряжение питания [V],Hesaplandı: Kaynak voltajı [V],0,Wyliczony/a: Napięcie zasilania [V]
0,.CALC_RESULT_VOLTAGE_DROP,1,,1,#.### V,False,1,False,5440,0,0.0,-40.0,1,True,25.0,2,1,,Calculation,,Grupo de voltaje [V],Voltage drop（压降） [V],Spannungsabfall [V],Voltage drop [V],Chute de tension  [V],Caduta di tensione [V],電圧降下[V],spanningsval [V],Queda de Tensão [V],Падение напряжения [В],Gerilim düşümü [V],0,Spadek napięcia [V]
0,.CALC_RESULT_WIRE_IGNITION_POINT_TIME,1,,1,# s,False,1,False,4,0,0.0,-40.0,1,True,25.0,2,1,,Calculation,,Calculado: tiempo de ignición del hilo [seg],Calculated: Wire Ignition point time （计算：线缆燃点时间 ）[sec],Berechnet: Auslösezeit Sicherung [sek],Calculated: Wire Ignition point time [sec],Calculé :  temps de déclenchement de protection de puissance [sec],Calcolato: Tempo di intervento fusibile [sec],算出: ワイヤ発火時間[秒],berekend: zekerings smelt tijd [sec],Calculado: Tempo do ponto de ignição do fio [sec],Рассчитано: Время возгорания провода [сек],Hesaplandı: Tel kontak noktası zamanı [sec],0,Wyliczony/a: Punkt zapłonu przewodu [sec]
0,.cmChangeInformation,0,,1,VALUE,False,1,False,-1275101185,8191,0.0,-40.0,1,True,25.0,4,1,,RevisionManagement,1,cmInformaciónModificación,cm修改信息,cmÄnderungsInformation,rmChangeInformation,cmInformationModification,cmInformazioniModifiche,変更情報(CM),cmModificatie informatie,cmÍndicedeAlteração,cmChangeInformation,cmDeğişiklikBilgisi,0,rmZmianaInformacji
0,.cmData,0,,1,VALUE,False,1,False,-1275101185,8191,0.0,-40.0,1,False,25.0,4,1,,RevisionManagement,1,cmDatos,cm数据,cmDaten,rmData_1,cmDonnées,cmData,変更データ(CM),cmData,cmAlteração-Versão,cmData,cmVeri,0,rmData_1
73,.CONNECTOR_NAME,1,,1,VALUE,False,1,False,7488,0,0.0,-40.0,1,True,25.0,4,1,,,,Designación de dispositivo interna,内部设备代号,Internes Betriebsmittelkennzeichen,Internal device designation,Désignation d'appareil interne,Designazione interna dispositivo,内部デバイス識別名,interne toestelbenaming,Designação Interna de Dispositivo,Внутреннее позиционное обозначение,İç Aygıt Adı,0,Wewnętrzne oznaczenie urządzenia
